,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
119,DMPP-1 b,DMPP-1,18.57,Radial Velocity,0.1462,0.083,5.29,24.27,1.21
120,DMPP-1 c,DMPP-1,6.584,Radial Velocity,0.0733,0.057,3.06,9.6,1.21
122,DMPP-1 e,DMPP-1,5.516,Radial Velocity,0.0651,0.07,1.86,4.13,1.21
194,GJ 180 b,GJ 180,17.133,Radial Velocity,0.092,0.07,2.43,6.49,0.43
195,GJ 180 c,GJ 180,24.329,Radial Velocity,0.129,0.09,2.41,6.4,0.43
196,GJ 180 d,GJ 180,106.3,Radial Velocity,0.309,0.14,2.66,7.56,0.43
261,GJ 667 C c,GJ 667 C,28.14,Radial Velocity,0.125,0.02,1.77,3.8,0.33
262,GJ 667 C e,GJ 667 C,62.24,Radial Velocity,0.213,0.02,1.45,2.7,0.33
263,GJ 667 C f,GJ 667 C,39.026,Radial Velocity,0.156,0.03,1.45,2.7,0.33
492,HD 108236 d,HD 108236,14.175685,Transit,0.1074,0.055,2.539,6.98,0.87
493,HD 108236 e,HD 108236,19.590025,Transit,0.1367,0.058,3.083,9.71,0.87
494,HD 108236 f,HD 108236,29.54115,Transit,0.1758,0.051,2.017,4.72,0.87
775,HD 191939 c,HD 191939,28.579743,Transit,0.1752,0.034,3.195,8.0,0.81
776,HD 191939 d,HD 191939,38.353037,Transit,0.2132,0.031,2.995,2.8,0.81
777,HD 191939 e,HD 191939,101.12,Radial Velocity,0.407,0.031,13.0,112.2,0.81
849,HD 215152 b,HD 215152,5.75999,Radial Velocity,0.057638,0.0,1.19,1.819,0.77
850,HD 215152 c,HD 215152,7.28243,Radial Velocity,0.067393,0.0,1.17,1.72,0.77
851,HD 215152 d,HD 215152,10.86499,Radial Velocity,0.08799,0.0,1.48,2.801,0.77
852,HD 215152 e,HD 215152,25.1967,Radial Velocity,0.15417,0.0,1.51,2.877,0.77
905,HD 23472 b,HD 23472,17.667087,Transit,0.1162,0.072,2.0,8.32,0.67
906,HD 23472 c,HD 23472,29.79749,Transit,0.1646,0.063,1.87,3.41,0.67
909,HD 23472 f,HD 23472,12.1621839,Transit,0.0906,0.07,1.137,0.77,0.67
1457,K2-239 b,K2-239,5.24,Transit,0.0441,,1.1,1.37,0.4
1458,K2-239 c,K2-239,7.775,Transit,0.0576,,1.0,0.972,0.4
1459,K2-239 d,K2-239,10.115,Transit,0.0685,,1.1,1.37,0.4
1499,K2-268 c,K2-268,9.327527,Transit,0.0819,,2.69,7.7,0.84
1500,K2-268 d,K2-268,4.528598,Transit,,,1.49,2.83,0.84
1501,K2-268 e,K2-268,6.131243,Transit,,,1.33,2.33,0.84
1524,K2-285 c,K2-285,7.138048,Transit,0.0824,0.0,3.53,15.68,0.83
1525,K2-285 d,K2-285,10.45582,Transit,0.1178,0.0,2.48,6.5,0.83
1526,K2-285 e,K2-285,14.76289,Transit,0.18041,0.0,1.95,10.7,0.83
1611,K2-37 b,K2-37,4.44117,Transit,0.0511,,1.61,3.22,0.9
1612,K2-37 c,K2-37,6.42904,Transit,0.0654,,2.75,8.0,0.9
1613,K2-37 d,K2-37,14.09189,Transit,0.1103,,2.73,7.9,0.9
1635,K2-384 d,K2-384,6.679582,Transit,,,1.392,2.52,0.33
1636,K2-384 e,K2-384,9.715043,Transit,,,1.345,2.37,0.33
1637,K2-384 f,K2-384,13.62749,Transit,,,2.222,5.57,0.33
1713,K2-72 b,K2-72,5.577212,Transit,0.04,0.11,1.08,1.28,0.27
1714,K2-72 c,K2-72,15.189034,Transit,0.078,0.11,1.16,1.65,0.27
1715,K2-72 d,K2-72,7.760178,Transit,0.05,0.11,1.01,1.01,0.27
1768,KIC 10001893 b,KIC 10001893,0.2197,Orbital Brightness Modulation,,,,,0.47
1769,KIC 10001893 c,KIC 10001893,0.32528,Orbital Brightness Modulation,,,,,0.47
1770,KIC 10001893 d,KIC 10001893,0.81161,Orbital Brightness Modulation,,,,,0.47
1858,KOI-351 b,KOI-351,7.008151,Transit,0.074,0.0,1.31,2.27,1.2
1859,KOI-351 c,KOI-351,8.719375,Transit,0.089,0.0,1.19,1.81,1.2
1861,KOI-351 e,KOI-351,91.93913,Transit,0.42,0.0,2.66,7.56,1.2
1862,KOI-351 f,KOI-351,124.9144,Transit,0.48,0.0,2.88,8.65,1.2
1863,KOI-351 g,KOI-351,210.60697,Transit,0.71,0.0,8.1,254.264,1.2
1908,Kepler-102 b,Kepler-102,5.28696,Transit,0.0552,0.0,0.47,4.3,0.8
1909,Kepler-102 c,Kepler-102,7.07142,Transit,0.067,0.0,0.58,3.0,0.8
1910,Kepler-102 d,Kepler-102,10.3117,Transit,0.0862,0.0,1.18,3.8,0.8
1911,Kepler-102 e,Kepler-102,16.1457,Transit,0.1162,0.0,2.22,8.93,0.8
2023,Kepler-11 b,Kepler-11,10.3039,Transit,0.091,0.045,1.8,1.9,0.96
2024,Kepler-11 c,Kepler-11,13.0241,Transit,0.107,0.026,2.87,2.9,0.96
2025,Kepler-11 d,Kepler-11,22.6845,Transit,0.155,0.004,3.12,7.3,0.96
2026,Kepler-11 e,Kepler-11,31.9996,Transit,0.195,0.012,4.19,8.0,0.96
2027,Kepler-11 f,Kepler-11,46.6888,Transit,0.25,0.013,2.49,2.0,0.96
2028,Kepler-11 g,Kepler-11,118.3807,Transit,0.466,0.15,3.33,25.0,0.96
2068,Kepler-1130 b,Kepler-1130,5.45298175,Transit,0.0595,0.0,0.8,0.437,0.9
2069,Kepler-1130 c,Kepler-1130,3.26663995,Transit,0.0423,0.0,0.792,0.422,0.94
2070,Kepler-1130 d,Kepler-1130,4.27225018,Transit,0.0506,0.0,0.645,0.202,0.94
2399,Kepler-138 b,Kepler-138,10.3134,Transit,0.0753,0.02,0.64,0.07,0.54
2400,Kepler-138 c,Kepler-138,13.7815,Transit,0.0913,0.017,1.51,2.3,0.54
2401,Kepler-138 d,Kepler-138,23.0923,Transit,0.1288,0.01,1.51,2.1,0.54
2619,Kepler-1542 b,Kepler-1542,3.95116882,Transit,0.0479,0.0,0.76,0.363,0.94
2620,Kepler-1542 c,Kepler-1542,2.89223021,Transit,0.0389,0.0,0.65,0.208,0.94
2621,Kepler-1542 d,Kepler-1542,5.99273738,Transit,0.0632,0.0,0.87,0.59,0.94
2622,Kepler-1542 e,Kepler-1542,5.10115756,Transit,0.0567,0.0,0.76,0.363,0.94
2808,Kepler-169 c,Kepler-169,6.195469,Transit,0.062,0.0,1.21,1.92,0.84
2809,Kepler-169 d,Kepler-169,8.348125,Transit,0.075,0.0,1.25,2.1,0.84
2810,Kepler-169 e,Kepler-169,13.767102,Transit,0.105,0.0,2.2,5.48,0.84
3204,Kepler-208 c,Kepler-208,7.466623,Transit,0.079,0.0,1.39,2.51,1.16
3205,Kepler-208 d,Kepler-208,11.131786,Transit,0.103,0.0,1.2,1.87,1.16
3206,Kepler-208 e,Kepler-208,16.259458,Transit,0.132,0.0,1.48,2.79,1.16
3226,Kepler-217 b,Kepler-217,5.374943,Transit,0.065,0.0,2.23,5.6,1.14
3227,Kepler-217 c,Kepler-217,8.586004,Transit,0.089,0.0,1.85,4.08,1.14
3228,Kepler-217 d,Kepler-217,3.88689525,Transit,0.0505,0.0,1.32,2.3,1.37
3247,Kepler-223 b,Kepler-223,7.38449,Transit,0.0756,0.078,2.99,7.4,1.12
3248,Kepler-223 c,Kepler-223,9.84564,Transit,0.0916,0.15,3.44,5.1,1.12
3249,Kepler-223 d,Kepler-223,14.78869,Transit,0.1201,0.037,5.24,8.0,1.12
3257,Kepler-226 b,Kepler-226,3.940997,Transit,0.047,0.0,1.55,24.0,0.91
3258,Kepler-226 c,Kepler-226,5.349555,Transit,0.058,0.0,2.27,45.2,0.91
3259,Kepler-226 d,Kepler-226,8.109044,Transit,0.076,0.0,1.22,1.98,0.91
3357,Kepler-26 b,Kepler-26,12.28,Transit,0.08551,0.0,2.78,5.12,0.54
3358,Kepler-26 c,Kepler-26,17.2559,Transit,0.10725,0.0,2.72,6.2,0.54
3360,Kepler-26 e,Kepler-26,46.827915,Transit,0.22,0.0,2.41,6.39,0.62
